time,pwm,ax,ay,az,gx,gy,gz,vibration,label
814676,0,0.0153,0.1846,-0.0160,2.21,5.52,8.51,0.3069,2
814685,0,0.0153,0.1846,-0.0160,2.21,5.52,8.51,0.3081,2
814696,0,-0.0768,0.0141,-0.0312,-14.40,2.95,-7.05,0.3092,2
814706,0,-0.0665,0.0225,-0.0135,-10.11,-1.79,-15.49,0.2711,2
814716,0,0.1206,-0.2338,0.0271,-5.06,-3.50,-14.59,0.2026,2
814726,0,0.1334,-0.2986,0.1130,1.15,-2.78,-13.08,0.2286,2
814736,0,0.1492,-0.0696,0.0952,-2.55,-0.75,-17.40,0.2283,2
814746,0,0.0986,-0.1051,0.0496,-0.73,5.32,9.85,0.2087,2
814756,0,0.0433,0.0119,0.0430,-5.33,1.79,-6.47,0.1880,2
814766,0,0.0531,0.0144,-0.0298,-8.49,1.07,-11.06,0.1839,2
814776,0,-0.2049,0.2049,-0.1219,-3.05,0.31,0.63,0.2006,2
814786,0,-0.0815,0.5400,-0.1336,-1.26,0.53,11.27,0.2615,2
814796,0,-0.1322,0.1627,-0.0886,-1.71,5.89,11.84,0.2699,2
814806,0,-0.0409,0.1326,0.0036,5.50,6.22,14.53,0.2725,2
814816,0,0.0369,-0.0296,-0.0070,-5.78,0.69,-33.73,0.2598,2
814826,0,-0.2381,0.4472,-0.1793,6.13,0.74,17.15,0.2906,2
814836,0,-0.0859,0.7127,-0.1366,-1.94,3.81,31.99,0.3663,2
814846,0,-0.2137,0.5154,-0.2081,-20.57,3.87,29.02,0.4091,2
814856,0,-0.0615,0.5872,-0.1411,-16.73,2.27,21.37,0.4515,2
814866,0,0.0616,0.0297,-0.0535,-34.14,-0.29,8.51,0.4519,2
814876,0,0.0208,-0.1966,0.0018,-18.50,-2.02,-1.16,0.4452,2
814886,0,0.1366,-0.1209,0.0574,-3.55,-0.63,-9.98,0.4126,2
814896,0,0.0016,-0.5124,0.0352,11.40,0.17,-20.09,0.4375,2
814906,0,-0.0596,-0.3025,0.0573,0.78,0.11,-24.44,0.4465,2
814916,0,-0.0829,0.1155,-0.0948,-29.17,-0.60,-1.16,0.4495,2
814926,0,-0.1169,0.0074,-0.0416,-4.89,2.83,2.66,0.4180,2
814936,0,-0.1526,0.2373,-0.0795,0.30,0.70,-4.30,0.3604,2
814946,0,-0.0674,0.0504,-0.1169,-16.47,-0.79,1.73,0.3107,2
814956,0,-0.0505,-0.0284,-0.0759,-12.50,-1.21,6.53,0.2461,2
814966,0,0.0339,0.2026,0.0041,-14.68,-2.47,6.89,0.2531,2
814976,0,-0.0016,0.0901,0.0004,-8.08,-0.05,-22.40,0.2469,2
814986,0,-0.0171,-0.1430,0.0722,-1.05,1.79,-10.75,0.2447,2
814996,0,0.0521,-0.4155,0.0786,2.13,3.17,6.94,0.2273,2
815006,0,-0.0377,-0.1291,0.0090,-0.92,0.73,18.30,0.2089,2
815016,0,-0.1734,0.3575,-0.1083,-6.26,-0.71,14.34,0.2402,2
815026,0,-0.1244,0.2368,-0.1345,-18.73,1.97,8.27,0.2551,2
815036,0,-0.0193,-0.2874,-0.0139,-2.96,4.22,-4.31,0.2546,2
